Price,House_Type,Area,Bedrooms,Bathrooms,Receptions,Location,County,Central_London_Flag,Area_Classifier
670000,Flat / Apartment,614,2,2,2,Wandsworth,London,No,small
700000,Flat / Apartment,707,2,2,2,Wandsworth,London,No,small
775000,Flat / Apartment,705,2,2,2,Richmond,Surrey,No,small
699999,New development,878,2,2,2,Wandsworth,London,No,small
390000,New development,506,1,1,1,Islington,London,No,small
465000,Flat / Apartment,543,1,1,1,Westminster,London,No,small
699950,Flat / Apartment,786,2,2,2,Merton,London,No,small
465000,Flat / Apartment,473,1,1,1,Westminster,London,No,small
500000,Flat / Apartment,451,1,1,1,Westminster,London,No,small
550000,Flat / Apartment,676,2,2,2,Richmond,Surrey,No,small
775000,Flat / Apartment,820,2,2,2,Wandsworth,London,No,small
699950,Penthouse,907,2,2,2,Wandsworth,London,No,small
249999,Flat / Apartment,458,1,1,1,Lambeth,London,No,small
990000,New development,820,2,2,2,Hammersmith and Fulham,London,No,small
765000,New development,618,1,1,1,Westminster,London,No,small
474950,Flat / Apartment,540,1,1,1,Hackney,London,No,small
650000,Flat / Apartment,668,1,1,1,Camden,London,No,small
499950,Flat / Apartment,603,1,1,1,Ealing,London,No,small
449950,Flat / Apartment,539,1,1,1,Ealing,London,No,small
375000,Flat / Apartment,961,2,2,2,Richmond Upon Thames,Surrey,No,small
625000,House,968,3,3,3,Esher,Surrey,No,small
395000,Flat / Apartment,734,2,2,2,Kensington and Chelsea,London,No,small
430000,Flat / Apartment,477,1,1,1,Hammersmith and Fulham,London,No,small
635000,Flat / Apartment,556,2,2,2,Hammersmith and Fulham,London,No,small
1000000,New development,960,2,2,2,Hammersmith and Fulham,London,No,small
420000,Flat / Apartment,783,2,2,2,Hammersmith and Fulham,London,No,small
699950,Flat / Apartment,816,2,2,2,Wandsworth,London,No,small
585000,Flat / Apartment,552,1,1,1,Wandsworth,London,No,small
375000,House,880,3,3,3,Walton-on-Thames,Surrey,No,small
995000,Flat / Apartment,814,2,2,2,Westminster,London,No,small
875000,Flat / Apartment,570,2,2,2,Westminster,London,Yes,small
750000,Flat / Apartment,633,2,2,2,Westminster,London,Yes,small
565000,New development,739,2,2,2,Islington,London,No,small
485000,Flat / Apartment,822,2,2,2,Hackney,London,No,small
520000,Flat / Apartment,944,2,2,2,East Molesey,Surrey,No,small
545000,New development,691,1,1,1,Wandsworth,London,No,small
640000,New development,691,2,2,2,Wandsworth,London,No,small
545000,New development,577,1,1,1,Wandsworth,London,No,small
650000,Flat / Apartment,623,2,2,2,Westminster,London,No,small
559000,Flat / Apartment,513,1,1,1,Tower Hamlets,London,No,small
425000,Flat / Apartment,592,1,1,1,Wandsworth,London,No,small
925000,Flat / Apartment,730,1,1,1,Camden,London,No,small
825000,Flat / Apartment,853,3,3,3,Hammersmith and Fulham,London,No,small
635000,Flat / Apartment,634,2,2,2,Hammersmith and Fulham,London,No,small
935000,Flat / Apartment,944,2,2,2,Hammersmith and Fulham,London,No,small
699950,House,883,2,2,2,Merton,London,No,small
725000,New development,784,2,2,2,Wandsworth,London,No,small
970000,New development,810,2,2,2,Hammersmith and Fulham,London,No,small
650000,New development,560,1,1,1,Hammersmith and Fulham,London,No,small
750000,Flat / Apartment,599,1,1,1,Kensington and Chelsea,London,No,small
500000,New development,566,1,1,1,Hackney,London,No,small
1000000,Flat / Apartment,703,2,2,2,Kensington and Chelsea,London,No,small
675000,Flat / Apartment,924,2,2,2,Wandsworth,London,No,small
999950,Flat / Apartment,792,2,2,2,Islington,London,Yes,small
785000,New development,590,1,1,1,Hammersmith and Fulham,London,No,small
350000,Flat / Apartment,539,1,1,1,Wandsworth,London,No,small
1325000,New development,824,2,2,2,Westminster,London,No,small
425000,Flat / Apartment,548,2,2,2,Hounslow,London,No,small
400000,Flat / Apartment,601,2,2,2,Richmond Upon Thames,London,No,small
700000,Flat / Apartment,940,2,2,2,Wandsworth,London,No,small
500000,Flat / Apartment,561,1,1,1,Islington,London,Yes,small
539950,Flat / Apartment,627,2,2,2,Wandsworth,London,No,small
850000,Flat / Apartment,901,2,2,2,Wandsworth,London,No,small
599950,Flat / Apartment,699,2,2,2,Lambeth,London,No,small
695000,Flat / Apartment,987,2,2,2,Wandsworth,London,No,small
950000,Flat / Apartment,922,3,3,3,Westminster,London,No,small
365000,Flat / Apartment,520,1,1,1,Hackney,London,No,small
380000,Flat / Apartment,550,1,1,1,Tower Hamlets,London,No,small
490000,Flat / Apartment,771,2,2,2,Tower Hamlets,London,No,small
450000,Flat / Apartment,460,1,1,1,Westminster,London,No,small
425000,Flat / Apartment,548,1,1,1,Wandsworth,London,No,small
1250000,Flat / Apartment,896,2,2,2,Camden,London,No,small
675000,Flat / Apartment,891,2,2,2,Islington,London,Yes,small
465000,Flat / Apartment,518,1,1,1,Hackney,London,No,small
675000,House,915,2,2,2,Esher,Surrey,No,small
725000,Flat / Apartment,861,2,2,2,Tower Hamlets,London,No,small
325000,Flat / Apartment,469,1,1,1,Tower Hamlets,London,No,small
800000,Flat / Apartment,742,2,2,2,Islington,London,Yes,small
595000,New development,476,1,1,1,City Of London,London,Yes,small
425000,Flat / Apartment,740,2,2,2,Hounslow,London,No,small
875000,House,869,2,2,2,Wandsworth,London,No,small
550000,Flat / Apartment,690,2,2,2,Lambeth,London,No,small
1150000,Flat / Apartment,933,2,2,2,Kensington and Chelsea,London,No,small
850000,House,953,2,2,2,Wandsworth,London,No,small
625000,Flat / Apartment,967,1,1,1,Wandsworth,London,No,small
700000,Flat / Apartment,814,2,2,2,Wandsworth,London,No,small
575000,Flat / Apartment,619,2,2,2,Wandsworth,London,No,small
820000,Flat / Apartment,992,1,1,1,Westminster,London,No,small
